id,question_zh,option1_zh,option2_zh,option3_zh,option4_zh,explanation_zh
27,"账簿（交易记录）丢失或损坏时该怎么办？","立即向警察署长报告","暂停营业直到找到","凭记忆重新写入新账簿","不需要做任何事","账簿丢失时必须立即向警察署长报告。"
28,"古物商在拍卖会上善意购买的物品是赃物时，可以主张什么？","没有归还义务","必须免费归还","获得支付价格补偿后归还","获得一半补偿后归还","在拍卖会购买时，可要求补偿支付价格后归还。"
29,"关于警察本部长发出的'品触'，哪项描述是错误的？","收到时必须记录收到日期","必须保存6个月","有符合物品时必须立即报告","违反保存义务只会停业，没有处罚","违反保存义务可能被处以6个月以下有期徒刑或30万日元以下罚款。"
30,"关于警察对店铺的现场检查，哪项描述正确？","没有经营者同意不能进入","没有事先通知可以拒绝","拒绝可能被处以10万日元以下罚款","没有法院令状可以拒绝","没有权利拒绝警察检查，拒绝将被处以10万日元以下罚款。"

31,"警察怀疑古物是赃物时，扣押令的最长期限是多久？","10天","30天","60天","90天","扣押令期限规定在30天以内。"
32,"哪项不属于《家电回收法》的4种对象物品？","家用空调","微波炉","冰箱","洗衣机","4种家电：空调、电视、冰箱/冷冻柜、洗衣机/烘干机。微波炉不属于对象。"
33,"处理带有PC回收标志的电脑时如何处理？","制造商免费回收","可作为大型垃圾交给地方政府","必须在邮局支付回收费","店铺必须回购","带有PC回收标志的电脑可以免费回收。"
34,"根据《消费生活用品安全法》，哪种物品没有PSC标志不能销售？","自行车","家用压力锅","燃气灶","台灯","家用压力锅、摩托车头盔没有PSC标志不能销售。"
35,"PSC标志中哪种物品属于危险性更高的'特别特定产品'（菱形）？","登山绳","煤油炉","家用压力锅","摩托车头盔","煤油炉、石油设备、婴儿床是特别特定产品（菱形）。"
36,"根据《犯罪收益转移防止法》，高风险交易需要记录的金额标准是？","现金超过100万日元","现金超过200万日元","所有贵金属交易","信用卡超过200万日元","适用于贵金属买卖中现金超过200万日元的交易。"
37,"再利用店上门收购时哪种行为被禁止？","要求销售事先未约定的物品","出示名片和许可证","交付合同","说明冷静期","禁止未预约上门或劝诱未预约物品。"
38,"上门收购中消费者可以行使拒绝交付权的期限是多久？","仅合同当天","合同后3天","冷静期内（8天）","直到收到货款","冷静期内可以拒绝交付。"
39,"哪种物品属于上门收购规制对象（适用冷静期）？","汽车","大型家具","冰箱","贵金属（戒指）","汽车、家具、家电、书籍、CD免除，但贵金属属于规制对象。"
40,"古物商许可证被吊销后，多久后可以重新申请？","1年后","2年后","3年后","5年后","许可证被吊销后5年内不能申请。"

41,"哪项不符合《古物营业法》中'古物'的定义？","使用过一次的物品","未使用但为使用目的交易的物品","经过部分保养的物品","无法实现原本目的的废品","无法实现原本目的的废品不是古物。"
42,"根据《产品责任法》，再利用店销售的二手品引起房屋火灾时谁负责？","销售的再利用店","产品制造商","原主人（委托收购者）","消费者厅","原则上制造商负责。但如果有加工或进口则可能成为对象。"
43,"什么情况下可以不经同意向第三方提供个人信息？","为向关联公司发送DM","响应警察调查要求","在网上公开购买记录","没有这种情况","根据法律规定（警察调查）可以不经同意提供个人信息。"
44,"网上拍卖经营者（3号营业）的正确义务是什么？","发现赃物上架时报警","用驾照原件确认卖家身份","自己购买所有商品","为买家保证冷静期","拍卖中介怀疑有赃物时有义务报警。"
45,"古物商可以在哪里进行行商？","街道或公园","咖啡馆或餐厅","交易对方（顾客）的住所","车站内","行商（上门收购）允许在对方的地址或住所进行。"
46,"在临时店铺经营时，除了管辖警察署外还可以通过哪里申报？","没有其他地方","管辖总部的公安委员会","市政府","商工会议所","获得公安委员会许可后，可以仅通过申报在其他都道府县经营。"
47,"因丢失而补发许可证后找到旧许可证时该怎么办？","保留旧的作为纪念","归还新的","立即归还找到的旧的","归还较新的那个","找到旧许可证时必须尽快附上理由书归还。"
48,"哪种《古物营业法》违规会被处以6个月以下有期徒刑或30万日元以下罚款？","无证经营","借名经营","违反账簿记录义务","以欺诈手段获得许可","违反账簿记录义务或品触保存义务：6个月以下有期徒刑或30万日元以下罚款。"
49,"哪种情况不需要归还许可证？","停止古物经营时","许可证被吊销时","补发后找到旧许可证时","暂停营业1个月时","仅暂停不需要归还（但暂停超过6个月可能被吊销）。"
50,"古物商开设网站进行交易时，首页必须显示什么信息？","店铺照片","员工姓名","公安委员会名称和许可证号","所有库存清单","有义务显示发证公安委员会名称和12位许可证号。"

51,"哪项不属于古物？","庭石","礼品券","旧衣服","旧游戏机","庭石、空罐、废金属不属于古物（礼品券属于古物）。"
52,"在国外购买杂货后在日本自己的店铺销售是否属于古物经营？","是（需要许可）","否（不需要许可）","取决于金额","销售价格1万日元以上则是","自己在国外购买后销售不属于古物经营。"
53,"在再利用检定的3R中，优先级最高的是什么？","Recycle（再生利用）","Reuse（再使用）","Reduce（减量）","全部相同","通常3R按Reduce > Reuse > Recycle的顺序优先。"
54,"古物市场主（2号营业）可以进行什么业务？","从普通顾客收购","运营古物商之间买卖的市场","提供网上拍卖系统","经营再利用店","古物市场主运营古物商之间买卖、交换的市场。"
55,"古物�的拍卖中介（3号营业）的主要业务内容是什么？","买卖古物","出租古物市场场地","提供拍卖系统（网络）","经营再利用店","这是通过网络提供古物买卖系统（拍卖）的经营。"
56,"申请许可时需要谁的户籍副本？","仅代表","仅管理者","所有干部和管理者","所有员工","对于法人，需要所有干部（包括监事）和店铺管理者的户籍副本。"
57,"因违反《古物营业法》被罚款后，多少年内不能申请许可？","1年","2年","3年","5年","因某些罪行（盗窃、违反《古物营业法》）被罚款后5年内不能申请许可。"
58,"变更店铺管理者时，必须在什么期限内进行变更申报？","变更前","变更后14天内","变更后30天内","立即（24小时内）","管理者变更必须在14天内通过警察署向公安委员会申报。"
59,"借名经营（让他人用自己的许可证经营）的处罚是什么？","仅指示处分","仅停业处分","1年以下有期徒刑","3年以下有期徒刑或100万日元以下罚款","借名经营或无证经营是最重处罚：3年以下有期徒刑或100万日元以下罚款。"
60,"从法人收购古物时，需要确认交易负责人的什么信息？","仅法人登记证明","仅负责人的员工证","负责人的地址、姓名、年龄、职业","法人代表的地址","即使是法人，也需要确认实际交易负责人的地址、姓名、年龄、职业。"

61,"再利用店销售摩托车时，哪项不需要记入账簿？","销售日期","古物特征","对方的职业","对方的家庭成员","销售记录项目：销售日期、古物名称/数量/特征、对方的地址/姓名/年龄/职业。"
62,"收购古物后拆解销售零件需要古物经营许可吗？","需要","不需要","仅销售金属部分时需要","仅销售塑料部分时需要","收购古物后销售可用零件也属于古物经营。"
63,"将使用过的办公设备低价卖给员工需要古物商许可吗？","需要","不需要","5件以上需要","1万日元以上需要","销售自己使用过的物品不属于经营，不需要许可。"
64,"将免费获得的家电修理后销售需要古物商许可吗？","需要","不需要","取决于销售价格","有修理费时需要","免费获得（未收购）的物品不属于古物经营。"
65,"古物商进行行商时，员工必须携带什么？","户籍副本","许可证原件","行商从业者证","驾照","员工进行行商时有义务携带行商从业者证。"
66,"行商从业者证的有效期是多久？","1年","3年","5年","没有特别规定（只要是员工）","行商从业者证法律上没有有效期，但离职时需要收回。"
67,"古物商变更网站URL时，必须在什么期限内进行变更申报？","变更前3天","变更当天","变更后14天内","变更后30天内","URL变更也需要在变更后14天内申报。"
68,"哪种情况需要申请补发许可证？","代表地址变更","法人干部变更","许可证丢失","管理者变更","许可证丢失或损坏时需要申请补发。其他情况通过变更申报处理。"
69,"《古物营业法》规定的账簿保存方法是什么？","仅限纸质笔记本","可以使用电脑（电子记录）","必须提交给警察署","必须保存在协会","满足一定条件时可以用电脑记录和保存。"
70,"哪种情况免除账簿记录义务（不需要记录）？","所有1万日元以下的情况","1万日元以下的零件","1万日元以下的游戏软件","没有免除情况","1万日元以下免除记录义务，但某些例外物品除外。"

71,"古物商违反停业命令继续经营会怎样？","严重警告","仅罚款","吊销许可证","仅提交检讨书","违反停业命令是吊销许可证的理由。"
72,"赃物报告义务的报告对象是谁？","消费者中心","警察","知事","公平交易委员会","怀疑是赃物时必须立即向警察报告。"
73,"收到品触但没有符合的物品时，需要保存品触吗？","不需要","保存1个月","保存3个月","保存6个月","即使没有符合的物品，也必须记录收到日期并保存6个月。"
74,"未成年人（未婚）销售古物时需要注意什么？","绝对不能收购","确认监护人同意书","有身份证就可以收购","1万日元以下不需要同意","根据民法，未成年人的法律行为需要法定代理人同意，也需要注意青少年保护条例。"
75,"古物拍卖中介（网上拍卖运营者）发现赃物上架时有什么义务？","向警察报告的义务（包括努力义务）","仅警告卖家","退款给买家","自己购买商品","拍卖中介怀疑有赃物时必须努力采取报警等认定措施（努力义务）。"
76,"哪种交易属于《特定商业交易法》的规制对象？","企业间交易（BtoB）","店铺销售","网上销售或上门销售（BtoC）","与国外的交易","网上销售（邮购）或上门收购属于《特定商业交易法》的规制对象。"
77,"网上销售网站上哪项不属于《特定商业交易法》的显示义务？","销售价格","付款时间","经营者的血型","交货时间","需要显示经营者的名称、地址、电话、价格、付款时间、交货时间。"
78,"上门收购经营者在冷静期内将商品卖给第三方时，原主人会怎样？","失去所有权","可以向第三方要求归还（对抗）","只能承受损失","只能拿回一半","冷静期内如果转让给第三方，消费者可以向该第三方要求归还商品。"
79,"没有PSE标志（电气用品安全法）的家电可以销售吗？","可以","不可以","作为废品可以","作为古董可以","《电气用品安全法》对象产品没有PSE标志不能销售（包括展示）。"
80,"《消费生活用品安全法》（PSC标志）的特定产品和特别特定产品有什么区别？","标志形状（圆形或菱形）","生产国","价格","销售渠道","特定产品是圆形PSC标志，危险性更高的特别特定产品是菱形PSC标志。"

81,"打火机（一次性）在PSC标志制度中属于什么分类？","不属于对象","特定产品（圆形）","特别特定产品（菱形）","推荐产品","打火机被指定为特别特定产品，必须有菱形PSC标志。"
82,"销售煤油炉时需要什么形状的PSC标志？","圆形（特定产品）","菱形（特别特定产品）","方形","三角形","煤油炉是特别特定产品，需要菱形PSC标志。"
83,"再利用店销售医疗器械时需要什么许可？","仅需古物商许可","需要向卫生部门申报/许可","需要医生执照","需要药剂师常驻","销售管理医疗器械除了古物商许可外，还需要根据《药品医疗器械法》申报或许可。"
84,"根据《犯罪收益转移防止法》，高风险交易需要身份确认记录和交易记录的金额标准是？","现金超过100万日元","现金超过200万日元","所有贵金属交易","信用卡超过200万日元","适用于贵金属买卖中现金超过200万日元的交易。"
85,"回收《家电回收法》对象的4种家电时，必须向处置者（顾客）发行什么文件？","家电回收票（管理票）","处置证明","仅收据","车辆登记证","回收4种对象物品时，必须发行家电回收票（管理票）并保存副本。"
86,"处置没有PC回收标志的旧电脑时，谁支付回收费？","制造商","国家","处置者（所有者）","再利用店","没有标志的电脑，处置者（所有者）在处置时支付回收费。"
87,"根据《个人信息保护法》，哪项属于个人识别符号？","指纹数据或护照号码","仅电子邮件地址","仅电话号码","店铺地址","指纹、静脉认证数据、My Number、驾照号码、护照号码属于个人识别符号。"
88,"除了违反《古物营业法》外，什么情况可能导致古物商许可证被吊销？","交通违规","不缴税","犯盗窃罪","民事纠纷","如果犯盗窃、诈骗、违反《古物营业法》等罪行并被罚款，许可证可能被吊销。"
