id,question_en,option1_en,option2_en,option3_en,option4_en,explanation_en
42,"Under Product Liability Law, who is responsible when used item sold at reuse shop causes house fire?","Reuse shop that sold","Product manufacturer","Previous owner","Consumer Affairs Agency","Manufacturer is principally responsible. However, if processed or imported, may be subject."
43,"When can personal information be provided to third party without consent?","To send DM to affiliated company","Responding to police investigation","Publishing purchase history on web","No such case","Can provide without consent when required by law (police investigation)."
44,"What is the correct obligation of online auction business operator (Type 3)?","Report to police when stolen goods found listed","Verify seller ID with original driver's license","Purchase all goods themselves","Guarantee cooling-off for buyers","Auction intermediary must report to police when suspecting stolen goods."
45,"Where can antique dealer conduct mobile business?","Streets or parks","Cafes or restaurants","Customer's residence","Inside train stations","Mobile business (home purchasing) permitted at customer's address or residence."
46,"When operating temporary store, besides local police, where else can notification be made?","Nowhere else","Public Safety Commission of headquarters","City hall","Chamber of commerce","With Public Safety Commission license, can operate in other prefectures with notification only."
47,"What to do when old license found after reissuance due to loss?","Keep old one as memento","Return new one","Return found old one immediately","Return whichever is nicer","Must promptly return old license with reason statement."
48,"Which Antique Business Law violation results in up to 6 months prison or up to 300,000 yen fine?","Unlicensed operation","Name lending","Record-keeping violation","Obtaining license by fraud","Record-keeping or notice retention violation: up to 6 months prison or 300,000 yen fine."
49,"Which case does NOT require license return?","When ceasing antique business","When license revoked","When old license found after reissuance","When suspending business for 1 month","Temporary suspension doesn't require return (but over 6 months may lead to revocation)."
50,"What must be displayed on homepage when antique dealer opens website for transactions?","Store photo","Employee names","Public Safety Commission name and license number","All inventory list","Must display licensing Public Safety Commission name and 12-digit license number."

51,"Which is NOT classified as antiques?","Garden stones","Gift certificates","Used clothing","Used game console","Garden stones, empty cans, scrap metal not antiques (gift certificates are antiques)."
52,"Is buying goods abroad and selling at own store in Japan antique business?","Yes (license needed)","No (no license needed)","Depends on amount","Yes if selling price 10,000 yen or more","Buying abroad yourself and selling is not antique business."
53,"In 3R for Reuse exam, what has highest priority?","Recycle","Reuse","Reduce","All equal","Generally 3R prioritized: Reduce > Reuse > Recycle."
54,"What business can antique market operator (Type 2) conduct?","Purchasing from regular customers","Operating market for trading between antique dealers","Providing online auction system","Operating reuse shop","Antique market operator runs market for antique dealers to trade with each other."
55,"What is main business of antique auction intermediary (Type 3)?","Buying/selling antiques","Renting antique market space","Providing auction system (internet)","Operating reuse shop","Business providing antique trading system (auction) via internet."
56,"Whose residence certificate copy is needed for license application?","Representative only","Manager only","All officers and managers","All employees","For corporations, need copies for all officers (including auditors) and store managers."
57,"How many years cannot apply for license after fine for Antique Business Law violation?","1 year","2 years","3 years","5 years","Cannot apply for 5 years after fine for certain crimes (theft, Antique Business Law violation)."
58,"Deadline for change notification when changing store manager?","Before change","Within 14 days from change","Within 30 days from change","Immediately (within 24 hours)","Manager change must be notified to Public Safety Commission via police within 14 days."
59,"What is penalty for name lending (letting others operate under your license)?","Directive order only","Business suspension only","Up to 1 year prison","Up to 3 years prison or up to 1,000,000 yen fine","Name lending or unlicensed operation: heaviest penalty of up to 3 years or 1,000,000 yen."
60,"When purchasing antiques from corporation, what information needed about transaction handler?","Corporate registration certificate only","Employee ID only","Handler's address, name, age, occupation","Corporate representative's address","Even for corporations, need handler's address, name, age, occupation."

61,"When reuse shop sells motorcycle, which is NOT required in records?","Sale date","Antique characteristics","Counterparty's occupation","Counterparty's family composition","Sale records: date, item name/quantity/characteristics, counterparty's address/name/age/occupation."
62,"Is antique dealer license needed when buying antiques and selling disassembled parts?","Needed","Not needed","Only for metal parts","Only for plastic parts","Buying antiques and selling usable parts is antique business."
63,"Is antique dealer license needed when selling used office equipment to employees cheaply?","Needed","Not needed","Needed if 5+ items","Needed if 10,000 yen or more","Selling own used items is not business, no license needed."
64,"Is antique dealer license needed when selling free appliances after repair?","Needed","Not needed","Depends on selling price","Needed if repair fee charged","Items received free (not purchased) is not antique business."
65,"What must employees carry when antique dealer conducts mobile business?","Residence certificate copy","Original license","Mobile employee ID card","Driver's license","Employees must carry mobile employee ID card for mobile business."
66,"What is validity period of mobile employee ID card?","1 year","3 years","5 years","No specific period (while employed)","No legal validity period, but must collect when employee leaves."
67,"Deadline for change notification when antique dealer changes website URL?","3 days before change","Day of change","Within 14 days after change","Within 30 days after change","URL change also needs notification within 14 days after change."
68,"Which case requires license reissuance application?","Representative address change","Corporate officer change","License lost","Manager change","Reissuance needed when license lost or damaged. Others handled by change notification."
69,"What is the record-keeping method under Antique Business Law?","Paper notebook only","Computer (electronic records) allowed","Must submit to police","Must keep at association","If meeting certain conditions, can record and keep by computer."
70,"Which case is exempt from record-keeping obligation?","All cases under 10,000 yen","Parts under 10,000 yen","Game software under 10,000 yen","No exemption","Under 10,000 yen exempt from recording except certain exception items."

71,"What happens when antique dealer violates business suspension order and continues operating?","Stern warning","Fine only","License revocation","Written apology only","Violating suspension order is grounds for license revocation."
72,"Who must stolen goods be reported to?","Consumer center","Police","Governor","Fair Trade Commission","Must report to police immediately when suspecting stolen goods."
73,"Must stolen goods notice be kept even if no matching items?","Not needed","Keep 1 month","Keep 3 months","Keep 6 months","Even without matching items, must record receipt date and keep 6 months."
74,"What to note when minor (unmarried) sells antiques?","Absolutely cannot purchase","Confirm guardian consent","Can purchase with ID","No consent needed under 10,000 yen","Minor's legal acts need legal representative consent; also note youth protection ordinances."
75,"What obligation does online auction operator have when stolen goods found listed?","Obligation to report to police (including best effort)","Only warn seller","Refund buyer","Purchase goods themselves","Auction intermediary must make best effort to report to police when suspecting stolen goods."
76,"Which transactions are subject to Specified Commercial Transactions Law?","Business-to-business (BtoB)","Store sales","Online sales or door-to-door sales (BtoC)","International transactions","Internet sales (mail order) or door-to-door purchasing subject to Specified Commercial Transactions Law."
77,"Which is NOT required display under Specified Commercial Transactions Law on online sales website?","Selling price","Payment timing","Business owner's blood type","Delivery timing","Must display business name, address, phone, price, payment timing, delivery timing."
78,"What happens to original owner when door-to-door purchaser sells to third party during cooling-off?","Loses ownership","Can claim return from third party","Can only accept loss","Gets half refund only","During cooling-off, if transferred to third party, consumer can claim return from that third party."
79,"Can home appliances without PSE mark (Electrical Appliance Safety Law) be sold?","Yes","No","Yes if junk item","Yes if antique","Products under Electrical Appliance Safety Law cannot be sold (including display) without PSE mark."
80,"What is difference between Specified Products and Special Specified Products under Consumer Product Safety Law (PSC mark)?","Mark shape (circle or diamond)","Country of manufacture","Price","Sales channel","Specified Products have round PSC mark; Special Specified Products with higher danger have diamond PSC mark."

81,"What category is lighter (disposable type) under PSC mark system?","Not subject","Specified Product (round)","Special Specified Product (diamond)","Recommended product","Lighters designated as Special Specified Product, requiring diamond PSC mark."
82,"What PSC mark shape needed when selling kerosene heater?","Round (Specified Product)","Diamond (Special Specified Product)","Square","Triangle","Kerosene heater is Special Specified Product, needs diamond PSC mark."
83,"What license needed when reuse shop sells medical equipment?","Antique dealer license only","Notification/license to health authority needed","Doctor's license needed","Pharmacist must be present","To sell managed medical equipment, need notification or license under Pharmaceutical and Medical Device Law besides antique license."
84,"Amount threshold for high-risk transactions requiring ID and transaction records under Crime Proceeds Transfer Prevention Law?","Cash over 1,000,000 yen","Cash over 2,000,000 yen","All precious metal transactions","Credit card over 2,000,000 yen","Applies to cash transactions over 2,000,000 yen for precious metals."
85,"What document must be issued to disposer when collecting 4 appliances under Home Appliance Recycling Law?","Home appliance recycling ticket (manifest)","Disposal certificate","Receipt only","Vehicle registration","When collecting 4 target items, must issue recycling ticket (manifest) and keep copy."
86,"Who pays recycling collection fee when disposing old PC without PC Recycling Mark?","Manufacturer","Government","Disposer (owner)","Reuse shop","PC without mark, disposer (owner) pays recycling collection fee at disposal."
87,"Which is personal identification code under Personal Information Protection Law?","Fingerprint data or passport number","Email address only","Phone number only","Store address","Fingerprint, vein authentication, My Number, driver's license number, passport number are personal identification codes."
88,"Besides Antique Business Law violation, what can result in antique dealer license revocation?","Traffic violation","Tax evasion","Committing theft","Civil dispute","If convicted of certain crimes like theft, fraud, Antique Business Law violation and fined, license may be revoked."
